production_companies,budget
 Permut Presentations,20000000.0
 Personafilm,3000000.0
 Peters Creek Entertainment,100000000.0
 Phantom Four,0.0
 Phi Group,6800000.0
 Phoenix Pictures,46500000.0
 Picture Factory,10000000.0
 Picture Loom Productions,0.0
 Picture Perfect Entertainment,10000000.0
 Piki Films,8250000.0
 Pinema,5500000.0
 Pinewood Pictures,0.0
 Pinnacle Peak Pictures,30000000.0
 Pixar,100000000.0
 Plan B Entertainment,36666666.666666664
 Play Art,0.0
 Playtime,6600000.0
 Playtone,90000000.0
 Plus M Entertainment,0.0
 Poisson Rouge Pictures,0.0
 Pola Pandora Filmproduktions,0.0
 Polaris Productions Limited,2200000.0
 Pony Canyon,0.0
 Posto 9,4000000.0
 Potboiler Productions,0.0
 Potomak Films,0.0
 Prescience,8000000.0
 Prima Films,200000.0
 Pro-ject Filmproduktion,4556000.0
 Producciones Gustavo Alatriste,0.0
 Production I.G,1500000.0
 Productions et Éditions Cinématographiques Françaises,700000.0
 Produzione Intercontinentale Cinematografica (PIC),700000.0
 Produzioni De Sica,0.0
 Prosperity Pictures,11700000.0
 Protozoa Pictures,6833333.333333333
 Proud Films,0.0
 Provident Films,2833333.3333333335
 Proximus,21400000.0
 Pupkin,0.0
 Python (Monty) Pictures,4000000.0
 Q Productions,20000000.0
 Q-TEC,0.0
 QC Entertainment,4500000.0
 Quad Productions,11466666.666666666
